商品名称,评论内容,评论地点,评论用户名,评论用户ID,发表日期,点赞数
青山黛 12G+512G,"在使用过程中,我发现它的处理器强大,运行流畅,无论是日常使用还是高强度的游戏体验都能轻松应对。同时,其摄像头功能也非常出色,拍摄出的照片清晰且色彩鲜艳",广东,u***z,21682974403,2024-11-01 18:07:19,0
羽砂金 12G+256G,整体感觉很好,广东,u***z,21682974971,2024-11-01 18:07:19,0
青山黛 16G+512G,外观没得说 商务 大气有档次，屏幕清晰音效还可以，真的是国货精品，长草了大半年，但是价格实在有些高，终于下定决心出手了，的确不会让你失望，随时能看大屏的感觉太美,广东,u***z,21682980011,2024-11-01 18:07:19,0
羽砂黑 16G+512G,充电速度很快哦,广东,u***z,21682935592,2024-11-01 18:07:19,0
羽砂黑 16G+512G典藏版,确实是正品,广东,u***z,21682905992,2024-11-01 18:07:19,0
羽砂白 12G+256G,运行畅快,广东,u***z,21682933228,2024-11-01 18:07:19,0
羽砂白 12G+512G,整体感觉很好，上手感觉非常棒,广东,u***z,21682945619,2024-11-01 18:07:19,0
羽砂黑 12G+512G,确实不错，,广东,u***z,21682974972,2024-11-01 18:07:19,0
青山黛 12G+256G,非常喜欢！试用了一下，感觉手感非常好，华为自带的鸿蒙系统也超好用！照相也非常棒！折叠屏折叠的时候也非常丝滑！,广东,u***z,21682953255,2024-11-01 18:07:19,0
羽砂金 12G+512G,屏幕清晰度高，运行速度快。卖家服务态度很好，有问必答。发货速度很快，包装完好无损,广东,u***z,21682933229,2024-11-01 18:07:19,0
羽砂白 16G+512G,看电影不卡顿,广东,u***z,21682931943,2024-11-01 18:07:19,0
羽砂白 16G+512G典藏版,拍照清晰,广东,u***z,21682953256,2024-11-01 18:07:19,0
青山黛 12GB+512GB,手机价格相对其他同类机构稍高，但京东自营的商品有保障。然而，这款手机的正品质量不佳，存在大量灰尘。因此，我们建议与客服沟通，确保商品质量得到改进。在京东自营购买商品，我们看重的是品质可靠。希望未来能够提供更好的服务。请尽快处理~问题。,辽宁,u***z,21682938911,2024-11-01 17:57:59,0
羽砂金 12G+256G,拍照清晰,广东,q***h,21682925982,2024-11-01 17:56:47,0
羽砂黑 12G+512G,拍照像素也很不错，够我用了，充电速度很快哦,广东,q***h,21682931891,2024-11-01 17:56:47,0
幻影紫 12G+512G,质量有保障,广东,q***h,21682927157,2024-11-01 17:56:47,0
羽砂白 12G+512G,性价比很高,广东,q***h,21682884693,2024-11-01 17:56:47,0
羽砂白 12G+256G,非常值得信赖的品牌，,广东,q***h,21682874678,2024-11-01 17:56:47,0
青山黛 16G+512G,拍照像素也很不错，够我用了，充电速度很快哦,广东,q***h,21682910726,2024-11-01 17:56:47,0
羽砂金 12G+512G,质量有保障,广东,q***h,21682916417,2024-11-01 17:56:47,0
青山黛 12G+256G,高端大气上档次，第一次用到这么优质的手机，真的是遥遥领先，支持国货，支持华为,广东,q***h,21682910545,2024-11-01 17:56:47,0
羽砂黑 16G+512G,拍照像素也很不错，够我用了，充电速度很快哦,广东,q***h,21682927994,2024-11-01 17:56:47,0
羽砂黑 12G+256G,每一项都让人赞叹。配货速度也很快。服务质量更是没话说，像素很好，很满意的一次购物体验满意于产品质量与客服的服务态度,广东,q***h,21682927156,2024-11-01 17:56:47,0
羽砂白 16G+512G,高端大气，展开更气派，起快开机，应用运行极其流畅，展开，折叠收缩自如，灵活多变，极度舒适,广东,q***h,21682916418,2024-11-01 17:56:47,0
羽砂白 16G+512G典藏版,看起来非常薄，手感很棒，放在裤袋里也不厚，非常完美，华为手机不会令人失望，老公很开心,广东,q***h,21682911655,2024-11-01 17:56:47,0
羽砂黑 16G+512G典藏版,手机外观漂亮好看，,广东,q***h,21682892914,2024-11-01 17:56:47,0
青山黛 12G+512G,折痕没有那么深。上手很快，反正我觉得挺好看的，HoneyOS还是蛮好用的，之前也一直用华为上手很快,广东,q***h,21682863937,2024-11-01 17:56:47,0
幻影紫 12G+256G,质量有保障,广东,q***h,21682911623,2024-11-01 17:56:47,0
羽砂黑 12GB+512GB,送给老公的，特别喜欢的,陕西,宝***苗,21682756475,2024-11-01 17:23:13,0
羽砂黑 12GB+256GB全网通,手机非常好，好用，很满意，,浙江,j***9,21682320461,2024-11-01 15:58:10,0
青山黛 12G+512G,用两天，效果不错。,辽宁,永***芊,21681546725,2024-11-01 13:22:04,0
羽砂黑 16GB+512GB,难得给家人买东西，老人想用个大屏手机，就买了。,内蒙古,j***n,21680773931,2024-11-01 10:56:09,0
青山黛 16GB+512GB,"这款产品以其精美的外观设计赢得了我的青睐。在使用过程中,我发现它的细节处理非常到位,无论是材质选择还是色彩搭配都展现了高水准的设计感。同时,产品的性能也相当出色,能够满足日常使用需求。总体来说,这是一款集美观与实用于一体的产品,值得推荐给追求生活品质的朋友们。",湖北,8***8,21679946982,2024-11-01 07:52:58,0
羽砂黑 16GB+512GB,"屏幕音效：非常好！
外形外观：非常精致！",北京,毕***波,21679749413,2024-11-01 05:53:50,0
幻影紫 16GB+512GB,手机特别好用吗待机时间长,河北,y***3,21678905178,2024-10-31 22:30:05,0
幻影紫 16GB+512GB,华为x5终于下手了，性能没得说，外观漂亮，手感舒适，很有质感，紫色的老婆拿着很骚气,辽宁,b***n,21678143864,2024-10-31 20:43:10,0
羽砂黑 12G+256G【分期24期免息】,真心喜欢这是我的梦中情机已推荐给朋友了,辽宁,j***d,21677971044,2024-10-31 20:16:44,0
青山黛 12GB+512GB,手机相当不错的 华为手机好,吉林,日***F,21676332661,2024-10-31 15:21:25,0
羽砂黑 12GB+512GB,重电使用  左侧有漏电的情况  有点木,河南,7***0,21675230802,2024-10-31 12:05:45,0
羽砂黑 12GB+512GB,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",湖南,n***1,21675165823,2024-10-31 11:54:54,0
羽砂黑12G+256G 官方标配,手机是正品，用起来很流畅,新疆,j***c,21674590383,2024-10-31 10:35:57,0
幻影紫 12GB+512GB,嗯使用效果买回来之后感觉都不错值得推荐。,广东,薄***尘,21673854564,2024-10-31 08:10:03,0
羽砂白 12G+512G,好！非常好！质量好，和实体店一样，颜色正，是我喜欢的,海南,w***8,21673296135,2024-10-31 01:50:07,0
羽砂黑 16G+512G,差评！拿标签隐瞒磕碰，如果不是当天想留下自用就把标签撕掉，还不知道下面隐藏着一个明显不浅的磕碰，一找客服就是让退货，不对隐瞒磕碰的事情作出回应，~那么多时间精力跟你退来退去，没有备用手机谁能跟你耗？手机没有功能性问题我也不和你浪费时间，质检报告一并奉上，真实真心的差评，我用自己的损失为大家提个醒,湖北,F***l,21673222095,2024-10-31 01:13:02,1
羽砂黑 16GB+512GB,最终还是没有忍住买了Mate X5，等不及Mate X6了，因为之前用过Mate X3就一直眼馋折叠屏，从适配和日常使用来说，华为的折叠屏确实没得说，展开很薄，单手有点厚重，但是这是对比直板手机的情况下，对标其他折叠屏，还是很能打的,青海,S***o,21672694906,2024-10-30 22:47:08,0
青山黛 12G+512G,非常给力喜欢的不得了棒棒哒店家服务一流,河北,m***m,21672513828,2024-10-30 22:11:07,0
羽砂白 16G+512G典藏版,棒棒哒下次有需要还来京东购物值得信赖,河北,m***m,21672514701,2024-10-30 22:10:28,0
幻影紫 12G+256G,买到就是赚到强烈推荐购买,河北,m***m,21672514703,2024-10-30 22:10:28,0
羽砂黑 12G+512G,很好用满意的一次购物店家服务一流,河北,m***m,21672514700,2024-10-30 22:10:28,0
羽砂黑 12G+256G,满意的一次购物店家服务一流下次有需要还来,河北,m***m,21672514702,2024-10-30 22:10:28,0
幻影紫 12G+512G,下次有需要还来棒棒哒店家服务一流,河北,m***m,21672503557,2024-10-30 22:09:20,0
羽砂金 12G+256G,品质有保障店家服务一流非常给力,河北,m***m,21672503558,2024-10-30 22:09:20,0
羽砂黑 16G+512G,收到了非常给力京东购物值得信赖客服非常热情负责,河北,m***m,21672503556,2024-10-30 22:09:20,0
羽砂金 12G+512G,大品牌有保障真的太棒了喜欢的不得了,河北,m***m,21672510550,2024-10-30 22:09:20,0
羽砂白 12G+256G,京东购物值得信赖下次有需要还来棒棒哒,河北,m***m,21672510549,2024-10-30 22:09:20,0
羽砂黑 12GB+512GB,"高端大气上档次的，
手感很好
大家看了都说好",黑龙江,u***h,21671830038,2024-10-30 20:22:43,0
羽砂黑 16G+512G典藏版,宝贝已经收到，非常满意,四川,j***x,21671599192,2024-10-30 19:48:45,0
青山黛 16G+512G,"拿着真机才发现真是远超过想象，真
机真的比想象中要薄且质感超级无敌好，做工精细度，
用材无可比拟，比水果机要感觉高大上的多得多啊。运
行流畅，界面华丽，功能强大，不知道该怎么形容，处
处都是惊喜",河北,m***m,21671437760,2024-10-30 19:21:11,0
青山黛 12G+256G,真的是国货精品，长草了大半年，但是价格实在有些高，终于下定决心出手了，的确不会让你失望，商务 大气有档次,河北,m***m,21671432285,2024-10-30 19:20:22,0
羽砂黑 16G+512G典藏版,很满意的一次购物体验，高端大气，展开更气派，价格也公道，第一次用折叠屏手机，图个新鲜感，非常好，展开，折叠收缩自如，灵活多变，极度舒适。,河北,m***m,21671428728,2024-10-30 19:19:36,0
羽砂白 12G+512G,第一次用到这么优质的手机，真的是遥遥领先，支持国货，支持华为！愿华为越来越好，每一项都让人赞叹,河北,m***m,21671424019,2024-10-30 19:18:44,0
羽砂白 16G+512G,质量非常好，包装非常仔细、严实，物流公司服务态度很好，运送速度很快,河北,m***m,21671421351,2024-10-30 19:18:01,0
羽砂金 12GB+512GB,送人的，还没拆开，包装很好，这个手机这么沉，拿着不是太方便，不如单屏的实用，适合老年人，可以放大字体去看，年轻人谁拿个平板到处跑，不过现代社会，再拿个手机装13就真是#了。,山西,0***d,21670294014,2024-10-30 16:40:22,0
幻影紫 16GB+1TB 典藏版,依旧支持华为,西藏,j***u,21668657863,2024-10-30 13:51:08,0
羽砂黑 12GB+256GB,都挺好，快递小哥也好,河北,忆***-,21667597178,2024-10-30 12:02:05,0
羽砂黑 12G+512G【12期|免息】,收到货后孩子太喜欢了，正品手机，儿子特别开心，真的太好了，非常喜欢,河北,u***j,21667607694,2024-10-30 12:01:52,0
青山黛 16G+512G,物美价廉，质量好得没话说。物流顺畅，商家服务细致，特别喜欢，是正品！快递服务态度也特别好，很有质感，高端大气,广西,5***5,21667475241,2024-10-30 11:46:01,0
青山黛 12G+256G,华为Mate X5是一款集创新设计、卓越性能与出色体验于一体的折叠屏手机。展开后的大屏幕带来前所未有的视觉享受，无论是观影还是办公，都显得格外舒适。屏幕显示效果令人印象深刻，色彩饱满，细节清晰，高刷新率使得滑动和观看动态内容更加流畅。性能上，华为Mate X5搭载了最新的麒麟处理器，运行速度快，多任务处理能力出色。电池续航表现优秀，即便在高强度使用下，也能轻松应对一整天的需求拍照功能一直是华为的强项，Mate X5配备了高像素的主摄和多个辅助摄像头，无论是白天还是夜晚，拍摄效果都非常出色。鸿蒙操作系统界面简洁，操作流畅，内置多种实用功能，如分屏操作、智能助手等，极大地提升了用户体验。多设备协同功能让我在不同设备间无缝切换，工作和生活更加便捷。,广西,5***5,21667467844,2024-10-30 11:44:54,0
羽砂黑 16G+512G典藏版,全套的华为手表电脑手机&hellip;&hellip;用起来非常好，摄像也非常清晰，给华为点赞，外观和描述一致，美观实用，材质手感都不错，好评！物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意。好产品、好品质、好服务，宝贝确实值这个价钱,广西,5***5,21667406513,2024-10-30 11:43:39,0
羽砂白 12G+512G,觉得这台手机真的值得购买，这次用的这台华为折叠手机真的是太惊艳了，下次买手机还是选择华为手机，它绝对比苹果手机好用,广西,5***5,21667400544,2024-10-30 11:42:20,0
羽砂白 16G+512G,这么多年都是用的苹果，换的第一部国产，没有任何不适应，很好，高端大气上档次，用起来也很快，看东西特别的清晰，看表格这些特别的方便，和平板差不多，而且这个价格也非常的合适了，比起之前可以的，大家快冲冲冲,广西,5***5,21667392418,2024-10-30 11:41:13,0
羽砂黑 16GB+512GB,帮哥哥买的，据说很满意。,广东,c***n,21667001884,2024-10-30 11:01:14,0
羽砂黑 12GB+512GB,外形外观：时尚大气，手感好，速度快，高端大气上档次，电池续航时间较长，充电速度较快，屏幕较大，适合孩子辅助学习使用，可以办公看图！,湖南,j***s,21666911141,2024-10-30 10:52:46,0
青山黛 12GB+512GB,好看手感摸着很不错使用很流畅，很满意适合商务办公，但是像素真的很拉！很难过照任何东西都估计磨皮很严重像素不行,重庆,嘚***星,21666486504,2024-10-30 10:07:30,0
羽砂黑 16GB+1TB 典藏版,质量不错，应该是正品，可以正常使用！！！,广东,虚***叔,21666146852,2024-10-30 09:35:31,0
幻影紫 16G+1T典藏版,上手体验，丝滑无比，商家态度很好，下次再来！,江苏,u***m,21666051169,2024-10-30 09:17:39,0
羽砂黑 12GB+256GB,这款产品的设计太出色了，独具巧思。质量上乘，无可挑剔。商家服务热情真诚，还收到了商家的小礼品，真的很不错！,陕西,l***r,21665991383,2024-10-30 09:03:44,0
青山黛 12GB+256GB,第一次用折叠屏手机，体验不错，特别是阅读和看视频，感觉不累,上海,r***d,21665933491,2024-10-30 08:49:28,0
羽砂白 16GB+512GB,完美，华为一直最棒,广东,均***2,21665318071,2024-10-30 02:26:12,0
羽砂黑 16GB+512GB 典藏版,送给家人的礼物，他很开心，手机不错，用起来还可以,北京,新***宝,21664189604,2024-10-29 22:11:54,0
青山黛 12GB+256GB,"手机不错  非常喜欢  立马感觉档次高了很多  哈哈哈
外形外观：10
屏幕音效：10
拍照效果：10
运行速度：10
待机时间：10
其他特色：10",内蒙古,喜***狼,21662692317,2024-10-29 19:46:47,0
羽砂黑 12GB+512GB,高端大气,吉林,贼***儿,21662313852,2024-10-29 19:08:15,0
羽砂黑 12GB+512GB,感觉很不错，很好的一次购物体验，一直支持京东,吉林,u***j,21661762519,2024-10-29 17:47:30,0
羽砂黑 12GB+256GB,"以旧换新：本来就想换新手机，这个回收更省心，一步到位，价格也公道，第一次用折叠屏手机，图个新鲜感，非常好，
外形外观：高端大气，展开更气派
屏幕音效：咬字清楚，听的清楚
运行速度：起快开机，应用运行极其流畅
拍照效果：放大缩小，色彩丰富，视野广
待机时间：超长待机，充一次电，用2-3天
其他特色：展开，折叠收缩自如，灵活多变，极度舒适。",江苏,她***y,21661546480,2024-10-29 17:06:52,0
青山黛 12GB+256GB,"以旧换新：本来就想换新手机，这个回收更省心，一步到位，价格也公道，第一次用折叠屏手机，图个新鲜感，非常好，
外形外观：高端大气，展开更气派
屏幕音效：咬字清楚，听的清楚
运行速度：起快开机，应用运行极其流畅
拍照效果：放大缩小，色彩丰富，视野广
待机时间：超长待机，充一次电，用2-3天
其他特色：展开，折叠收缩自如，灵活多变，极度舒适。",江苏,她***y,21661509561,2024-10-29 17:04:38,0
羽砂黑 12GB+256GB,"以旧换新：本来就想换新手机，这个回收更省心，一步到位，价格也公道，第一次用折叠屏手机，图个新鲜感，非常好，
外形外观：高端大气，展开更气派
屏幕音效：咬字清楚，听的清楚
运行速度：起快开机，应用运行极其流畅
拍照效果：放大缩小，色彩丰富，视野广
待机时间：超长待机，充一次电，用2-3天
其他特色：展开，折叠收缩自如，灵活多变，极度舒适。",江苏,她***y,21661464808,2024-10-29 17:04:26,0
幻影紫12G+512G 官方标配,物超所值 非常好第一次购物体验,内蒙古,以***白,21661499296,2024-10-29 16:58:12,0
羽砂黑 12GB+256GB,运输包装很好，下次还选择京东,山西,c***C,21661446411,2024-10-29 16:49:24,0
幻影紫 16GB+1TB 典藏版,很不错的机器，送碎屏险，给力，很可以，华为加油,上海,六***地,21660765336,2024-10-29 14:45:43,0
幻影紫 12GB+512GB,超级垃圾产品，没用2月就出道道了，建议不要买，差评,内蒙古,j***n,21660125979,2024-10-29 12:27:39,0
羽砂金 12GB+512GB,非常满意的购物体验，产品外观时尚，质量上乘，性价比高，物流快速，商家服务周到。购物非常愉快，商品实惠又好用，质量有保证。物流迅速，商家服务周到，售后放心。,河北,依***贸,21660003535,2024-10-29 12:06:29,0
羽砂黑 12G+512G【24期|免息】,用了这么多品牌的手机兜兜转转的还是华为用的习惯。,江苏,S***u,21658687810,2024-10-29 07:39:15,0
羽砂黑 16GB+1TB 典藏版,物流很给力、很满意的一次购物，京东买的东西靠谱有保障,海南,A***6,21658141627,2024-10-29 01:03:11,0
青山黛 12GB+512GB,"华为手机以其卓越的性能和创新的设计赢得了用户的青睐。在使用过程中,我发现其摄像头功能强大,拍照效果清晰细腻;处理器速度快,运行流畅:电池续航能力强.满足长时间使用需求。此外,华为手机的外观设计时尚,手感舒适。总体来看,华为手机是一款性价比高、功能全面的智能手机。对于追求高品质手机体验的用户来说,华为手机是一个值得推荐的选择。",湖南,j***i,21657982791,2024-10-29 00:07:20,0
羽砂白 16GB+512GB 典藏版,有一条龙城国际物流中心了,广东,j***n,21657146584,2024-10-28 21:59:44,0
羽砂金12+512G 【12期|免息】,手机非常好用。很漂亮,广东,j***u,21655838447,2024-10-28 18:48:34,0
羽砂黑 16GB+512GB 典藏版,很好用，非常实用。赞！,河南,拨***6,21654982930,2024-10-28 16:15:49,0
羽砂白 16GB+512GB 全网通（典藏版）,好得很，好用的很。一能用。,江苏,大***d,21654481120,2024-10-28 15:06:34,0
青山黛 12GB+256GB,物流很快，包装得很好，手机是原封未激活的，手感很好，很流畅,广东,j***5,21654416041,2024-10-28 14:55:30,0
羽砂黑 12GB+512GB 官方标配,发货速度很快  客服服务态度很好  价格实惠  下次还来买,广东,q***j,21653890519,2024-10-28 13:44:55,0
羽砂黑 12GB+512GB,发货速度快 客服态度很好 价格实惠  下次还来买,广东,7***2,21653866489,2024-10-28 13:40:37,0
幻影紫 12GB+256GB,很喜欢，推荐大家购买，使用很流畅，性能也很好,黑龙江,小***e,21653795513,2024-10-28 13:24:57,0
羽砂白 12G+512G,什么东西啊买的99新的来了都是划痕。边框更是有磕碰掉漆也是服了。手机烫的不行都别买。纯纯@。摄像头还是歪的,河北,j***4,21653760383,2024-10-28 13:17:38,0
羽砂黑 16G+1TB典藏版,很好用 颜值抗打 拍照高清 功能齐全,河北,乌***吧,21653193323,2024-10-28 11:55:39,0
青山黛 12GB+512GB,华为值得信赖，一直用都是用华为的手机，中国芯加油,福建,夜***岛,21652335479,2024-10-28 10:29:37,0
羽砂黑 12GB+512GB,很好,北京,j***8,21651814304,2024-10-28 09:22:27,0
青山黛 12GB+512GB,手机垃圾不好,黑龙江,j***d,21651370080,2024-10-28 06:23:19,0
羽砂黑 12GB+256GB,高端大气上档次，第一次用到这么优质的手机，真的是遥遥领先，支持国货，支持华为！愿华为越来越好，国货之光越来越强！,上海,g***7,21650972669,2024-10-28 00:40:18,0
青山黛 12GB+512GB 免息版本12期,好用好用好用好用好用好用 特此好用 特别特别好用非常好用完美 太完美了,安徽,j***b,21650624666,2024-10-27 22:59:40,0
幻影紫 12GB+512GB,"华为佳品质自优，价比金重实堪留。品质与价双兼顾，百姓之选在此中。
外观也好看的很，很实用，就是有点小贵，但是很喜欢",江苏,j***0,21650516521,2024-10-27 22:43:59,0
羽砂黑 16GB+1TB 典藏版,手机还没有拆，但是这个包装太差劲了，里面有一个泡沫都没有风扇的，不知道手机有没有摔坏,广东,x***6,21649537727,2024-10-27 19:59:57,0
羽砂黑 16GB+1TB 典藏版,家人们！我要~给你们一款超级好用的产品&mdash;&mdash;华为x5！📱✨首先来说说这个华为x5的简介吧！这款手机真的是绝绝子！它不仅拥有超强的性能，而且还拥有超高的颜值。外观设计简洁大方，线条流畅，手感超级棒！😍📱华为x5的优点真的是数不胜数！首先它的摄像头功能强大，拍照效果惊艳，无论是人像还是风景都能拍出大片的感觉！📸而且它的电池续航能力也是杠杠的，一天一充完全没问题，出门在外再也不用担心手机没电啦！🔋还有哦，华为x5的性能也是杠杠的，运行流畅，打开应用速度超快，完全不会有卡顿的感觉！💨而且它的屏幕显示效果也是一级棒，色彩鲜艳，看剧看电影都是一种享受！🎬姐妹们，这款华为x5真的是值得拥有的一款手机！如果你还在犹豫要不要换手机，那就答应我一定要试试华为x5！👍但是哦，华为x5也有一些小小的缺点，比如它的价格可能会稍微高一些，但是考虑到它的性能和颜值，我觉得还是值得的！💰总的来说，华为x5真的是一款性价比超高的手机，无论是性能还是外观都是一流的！如果你还在纠结换什么手机，那就试试华为x5吧！保证你不会后悔！😉,天津,L***i,21649421699,2024-10-27 19:40:45,0
羽砂黑12G+256G 12期|免息,真的没想到京东上卖的这款手机真的不错,吉林,j***l,21649124722,2024-10-27 18:46:15,0
羽砂白 12G+512G,好喜欢挺好的也一直喜欢好久了,江苏,w***东,21648944950,2024-10-27 18:08:43,0
羽砂黑 16GB+1TB 典藏版,手机质量很好，屏幕清晰度高，运行速度快。卖家服务态度很好，有问必答。发货速度很快，包装完好无损。非常满意这次购物体验！,北京,酒***水,21648774386,2024-10-27 17:34:29,0
羽砂黑 12GB+512GB,分期太爽了！,四川,m***k,21648508947,2024-10-27 16:41:20,0
羽砂黑 12GB+256GB,五星好评，还好继续回购,上海,企***长,21648177036,2024-10-27 15:32:38,0
青山黛16+512G 【24期|免息】,手机挺好的满意,广东,L***生,21648050423,2024-10-27 15:05:11,0
